Time,Date,Day.of.the.week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic.Situation,Temperature,Visibility.in.metres,TimeGroup,DayGroup
12:00:00 am,10,Tuesday,31,0,4,4,39,low,10.6,2498.93,Night,Weekday
12:15:00 am,10,Tuesday,49,0,3,3,55,low,12.9,2448.96,Night,Weekday
12:30:00 am,10,Tuesday,46,0,3,6,55,low,13,3123.58,Night,Weekday
12:45:00 am,10,Tuesday,51,0,2,5,58,low,11.2,2882.65,Night,Weekday
1:00:00 am,10,Tuesday,57,6,15,16,94,normal,11.7,3449.5,Night,Weekday
1:15:00 am,10,Tuesday,44,0,5,4,53,low,11.6,2192.29,Night,Weekday
1:30:00 am,10,Tuesday,37,0,1,4,42,low,12.4,2497.23,Night,Weekday
1:45:00 am,10,Tuesday,42,4,4,5,55,low,13.4,3853.1,Night,Weekday
2:00:00 am,10,Tuesday,51,0,9,7,67,low,14.2,3038.03,Night,Weekday
2:15:00 am,10,Tuesday,34,0,4,7,45,low,12.4,2126.43,Night,Weekday
2:30:00 am,10,Tuesday,45,0,1,1,47,low,14.2,2857.9,Night,Weekday
2:45:00 am,10,Tuesday,45,0,1,3,49,low,14.6,2233.09,Night,Weekday
3:00:00 am,10,Tuesday,50,0,3,0,53,low,14.6,3551.57,Night,Weekday
3:15:00 am,10,Tuesday,34,0,4,4,42,low,16,3606.98,Night,Weekday
3:30:00 am,10,Tuesday,129,22,42,1,194,heavy,14.6,3864.45,Night,Weekday
3:45:00 am,10,Tuesday,144,16,49,0,209,heavy,15.8,3456.33,Night,Weekday
4:00:00 am,10,Tuesday,111,28,20,3,162,normal,17,3346.82,Night,Weekday
4:15:00 am,10,Tuesday,67,11,10,16,104,normal,15.6,2371.68,Night,Weekday
4:30:00 am,10,Tuesday,65,24,7,16,112,normal,18.2,4249.03,Night,Weekday
4:45:00 am,10,Tuesday,94,27,7,16,144,normal,17.8,4350.14,Night,Weekday
5:00:00 am,10,Tuesday,94,20,8,7,129,normal,18.8,4516.25,Morning,Weekday
5:15:00 am,10,Tuesday,67,29,5,10,111,low,19,4750.01,Morning,Weekday
